#          distance                  H2                 H2O                  N2                  O2                  OH                   T                 U_x                 U_y                 U_z
                  0      0.999996477301   1.29144828685e-06   1.87966723799e-06    2.6198263803e-10   2.85661015905e-12       309.209291052       78.4925245214  -1.19918448342e-12   5.76718897186e-18
             0.0001      0.999960937956   1.42259152627e-05   2.34112420827e-05   3.01282835719e-09   2.83365068838e-11       314.486019037       76.2089905862      0.175755802525   1.28891200759e-05
             0.0002        0.9985609749   0.000476077405533    0.00095036956726   1.05736549813e-07   8.78096637059e-10       337.134583171       68.4867577445      0.417783491327   0.000327042532493
             0.0003      0.955653852053     0.0126697869204     0.0315899930325    2.8210309852e-06   2.16816571723e-08       393.232002308       53.0096460114      0.699233644037  -5.91576776955e-06
             0.0004      0.651086449027     0.0867843866433      0.261878248927    1.5678844967e-05   7.36859252371e-08        492.66227251       29.9057554766      0.331535602402  -3.40222539148e-05
             0.0005      0.313388019527      0.166727141272      0.519516441849   1.90769668149e-05    6.4414068434e-08       640.706192312       13.3789128675     -0.143144210368   8.06983686566e-05
             0.0006      0.168477474914      0.202757876353      0.628338600173   1.38152377397e-05   5.99553289063e-07         813.7403211       6.31355415381     -0.433142822185   2.13046583932e-06
             0.0007      0.105748825591      0.218787841605      0.674994230677   9.43386145012e-06      4.95003213e-06       988.654712065       3.42489671167     -0.626051789936  -3.25391080031e-05
             0.0008     0.0730279907026      0.227192024407      0.699260759708   7.15025756777e-06   2.22680666024e-05       1154.91829569       2.13612189498     -0.742670944235   0.000182202564138
             0.0009      0.053456166129      0.232173446714      0.713775167176   7.02959118373e-06   6.76515378793e-05       1307.73878743       1.50863093688     -0.803822092965   2.94302881676e-06
              0.001     0.0406493388157      0.235345637712      0.723287049354   9.71689345674e-06   0.000159398553546       1445.27064377       1.18214089113     -0.826328850773   4.61864713734e-05
             0.0011     0.0316553464278      0.237445702286      0.729987315927   1.72789431541e-05   0.000317532462362       1568.24957374       1.00175793433     -0.824083563868   4.69522654596e-05
             0.0012     0.0250132598143      0.238818900741       0.73496174546   3.48522944624e-05   0.000564213051912       1677.74434011      0.896703788081     -0.806430574724   1.84511655808e-05
             0.0013     0.0199219680061      0.239626480912       0.73880899273   7.38811870215e-05   0.000925360396694       1774.80890835      0.832053009626     -0.779811319679   2.82534873246e-05
             0.0014     0.0159020683523      0.239922803444      0.741891523009   0.000159094955227    0.00143267220112        1860.4198999      0.789766623131     -0.748381859355   2.52990659705e-05
             0.0015      0.012657426858      0.239668905576      0.744438950677   0.000344361706032     0.0021274322118       1935.23950982      0.760094183538     -0.714052632879   0.000163366847041
             0.0016     0.0100043703908      0.238735483397      0.746597943377   0.000738377857552    0.00305130409365       1999.46241217      0.737513978643     -0.679763447271   5.74944648593e-05
             0.0017    0.00781817371127       0.23686200969       0.74847011696    0.00156116180577    0.00424339856584       2053.04882969      0.718917296933     -0.644937271655   9.82614533765e-05
             0.0018    0.00602779798043      0.233702837465      0.750099774667    0.00317806535326    0.00568572896381       2095.48259304      0.702371927261     -0.610854187086   5.99780255786e-06
             0.0019    0.00458743433598      0.228861093702      0.751481005989    0.00613637600521    0.00726795738592       2125.93829255      0.686692436354      -0.57622746048    8.3029543659e-05
              0.002    0.00345738844073      0.222210099476      0.752564744654     0.0109206834995    0.00875546761238       2143.92607929      0.671129548448     -0.542020227786   7.87245268166e-05
             0.0021    0.00259208217898      0.213905945005       0.75330415893     0.0177876056529    0.00989991851149       2149.19669149      0.655268422853       -0.5079857206   4.90833824336e-05
             0.0022    0.00193848722897      0.204358932197      0.753697050426     0.0266138129599     0.0105463914729       2141.99384764      0.638932139436     -0.474241849183   7.14677178384e-05
             0.0023    0.00144878185397      0.193987775125       0.75378206746      0.037084048943     0.0106526079312       2122.49569469      0.622050522363     -0.440319489101   3.72225881319e-05
             0.0024    0.00107971052395      0.183229978124      0.753638876225     0.0486599710036     0.0102934142522       2091.80724531      0.604723360659     -0.407418586249   0.000123554188574
             0.0025   0.000802070937926      0.172320085966      0.753340585096     0.0609615639427    0.00956107589429       2050.39545425      0.586987479413     -0.374952048747   7.91443495034e-06
             0.0026    0.00059273852887      0.161458946872      0.752962179164     0.0735882681036    0.00857538407446        1999.3318331      0.568968486268     -0.343388862446   1.74178911644e-05
             0.0027   0.000434771887587      0.150771081836      0.752566135086     0.0862265515354    0.00744719624833       1939.76492484      0.550771567138     -0.312988785658   1.54708581635e-05
             0.0028   0.000316067811414       0.14033322786      0.752201407422     0.0986401239541    0.00626876497667       1872.75743129      0.532484811126     -0.283839781844   8.14740290136e-06
             0.0029   0.000227307584688      0.130192713013       0.75190459643       0.11065401496    0.00511382893061       1799.42520379      0.514183557973     -0.255991313229   1.17744407639e-07
              0.003   0.000162003288932      0.120382142572      0.751704454154      0.122135140602    0.00403923537096       1720.64280369      0.495923318747     -0.229387079413   5.37703096648e-05
             0.0031   0.000114585856537      0.110920665625      0.751620043118      0.132993190803    0.00308569426027       1637.45955187      0.477736802748     -0.204039587067    4.0208561961e-06
             0.0032   8.03526805656e-05      0.101826691659      0.751654713928      0.143183406884     0.0022704669123       1551.26293859      0.459706921857     -0.180249807443   2.95069028255e-07
             0.0033     5.666522847e-05     0.0931049323744      0.751817163792      0.152674681121    0.00160646554347       1462.66907191      0.441839224533     -0.157755959419   3.30334717462e-08
             0.0034   4.06827851609e-05     0.0847632286118      0.752103813141       0.16146682087    0.00108930106846       1372.79112768      0.424163292604      -0.13665741605   -7.8291624317e-07
