#          distance                  H2                 H2O                  N2                  O2                  OH                   T                 U_x                 U_y                 U_z
  8.67361737988e-19      0.980658034023    0.00616835003435     0.0130870711587   4.49775865552e-07   1.11797918343e-08       358.643830045       70.7866485833  -1.08140649101e-12   7.38223760284e-18
             0.0001      0.960406209046      0.011882077721     0.0276087393164   7.75405962721e-07   1.59986962354e-08       371.155022078       68.1695093608       0.29488647152   2.11043909792e-06
             0.0002      0.850976009695     0.0401849099753      0.108683891677    1.8928334945e-06   2.11113599495e-08       417.792301784       57.6139389435      0.448058040546  -5.31108225813e-06
             0.0003      0.649955127367      0.088579896182      0.261248874527   2.82055620953e-06   1.33996562991e-08       492.362405511       43.2145231179      0.411172054628  -3.76326192467e-06
             0.0004      0.439748404032      0.137845097864      0.422137412706   2.81673449958e-06   8.32719410045e-09       590.164375297       29.9772823405      0.284433103704   8.65354382497e-07
             0.0005      0.293817009147      0.172533997945      0.533339065348   2.21927393471e-06   4.54359845691e-08       701.874002025       20.6071163137      0.159574303224   1.43953127359e-05
             0.0006       0.20523890808      0.194140537554       0.60027772272   1.59222102923e-06    3.0257295734e-07       817.789639375       14.4452922807     0.0529269424344   1.28252360226e-05
             0.0007      0.151680368367      0.207471956419      0.640476099262   1.11948968897e-06   1.33475767956e-06       932.534314993        10.449447652    -0.0370411162579   1.63821270026e-05
             0.0008      0.117215540705      0.216150284059      0.666234994831   8.09571107318e-07   4.25188431715e-06       1043.59809595       7.80774594744     -0.111735617896   1.86834375396e-05
             0.0009     0.0936270865685      0.222121735899      0.683822932679   6.40400786571e-07   1.07135510455e-05       1149.93615931       6.00975622903     -0.172943087226   7.72523488903e-06
              0.001     0.0767126858571      0.226406499788      0.696419294184   6.00224132036e-07   2.29690864126e-05       1251.09938464       4.75688797148     -0.222278126317   1.83469925666e-05
             0.0011     0.0640704873441       0.22959744523      0.705830321376   6.93911158419e-07   4.34476680978e-05       1346.69224239       3.86094569172     -0.261514421868   6.69739980804e-05
             0.0012     0.0542389809441      0.232058938864      0.713150269942   9.53499133725e-07   7.46632553828e-05       1437.14055439       3.20085170345     -0.292958054798   3.55959082089e-05
             0.0013     0.0464254934862      0.233987991306      0.718971655176   1.45877129693e-06    0.00011946868119       1522.35655537       2.70724910019     -0.317668339644   1.55725963605e-05
             0.0014     0.0400765881697      0.235521669104      0.723707460606    2.3545058562e-06   0.000180844483372       1602.50762428       2.33139138048     -0.336891424234   9.40215208858e-06
             0.0015     0.0348178097831      0.236751686394      0.727636915073   3.87861127561e-06   0.000261784583641       1677.77680023        2.0402143101     -0.351718060834   2.30066167067e-06
             0.0016     0.0303926797388      0.237738889804      0.730951386183    6.4245792576e-06   0.000365816494539        1748.4040676       1.81141462691      -0.36291486024   4.59606820437e-06
             0.0017     0.0266183834357      0.238524458111      0.733787510313   1.06241421627e-05   0.000496903869796       1814.59215014       1.62923081659     -0.371130612826   2.75332127379e-05
             0.0018     0.0233589747344      0.239136478285      0.736247194334   1.74746608211e-05   0.000659506047898          1876.55132       1.48225676727     -0.376940747564   5.67794840553e-05
             0.0019     0.0205155400384      0.239591574583      0.738405057703   2.85829449923e-05   0.000859046482887        1934.4495848       1.36235072938     -0.380766520666   9.25179813799e-05
              0.002     0.0180133462632      0.239897613805      0.740318029344   4.65404828827e-05    0.00110202931498       1988.41860711       1.26351117706     -0.383002094347   0.000112738158232
             0.0021      0.015795106353      0.240054472543      0.742030409724   7.55421946631e-05    0.00139623948197       2038.55155927       1.18124895222     -0.384044614349   6.69437031236e-05
             0.0022     0.0138152137231      0.240053545895      0.743578285002   0.000122473873513    0.00175133440175       2084.92829728       1.11210123261     -0.383950372148   1.33057965878e-05
             0.0023     0.0120407324392      0.239872482018      0.744989124867   0.000199539607665    0.00218053536384       2127.52076071       1.05355204185     -0.382670439007   2.82792813178e-05
             0.0024     0.0104435557353      0.239477434188      0.746287089133   0.000327139872862     0.0026979632086       2166.27939146       1.00348378097     -0.380377183506   9.64770734036e-05
             0.0025    0.00900120185425      0.238821381192      0.747491913765   0.000537639100328    0.00331681754081       2201.13236049      0.960225653046     -0.377513265086   8.24083894755e-05
             0.0026    0.00769794958245      0.237833842139        0.7486180506     0.0008837160104    0.00405050408333       2231.91851969      0.922501888181     -0.374091925364   1.71953923062e-06
             0.0027    0.00652658152909      0.236391714117      0.749673129582    0.00146412399688    0.00491427497158       2258.21836277      0.889384975271     -0.369533602532   7.34202670245e-05
             0.0028    0.00547828077682      0.234381445431      0.750658441627    0.00240559937723    0.00589611711445       2279.78708413        0.8599379286     -0.364420084573   7.92435892666e-05
             0.0029     0.0045497500328      0.231668735958      0.751564512677    0.00388137642543    0.00696553441389       2296.24008017      0.833490196037     -0.358730635094   9.86568234614e-06
              0.003    0.00374322054618      0.228079720067      0.752366102242    0.00614999279499    0.00806129487268       2306.87051311      0.809510916291     -0.351739884047   0.000123396612964
             0.0031    0.00305035390958      0.223615176959      0.753039087867    0.00935331529008    0.00908953699741       2311.64951424      0.787499213212     -0.344495625029   2.97377683736e-06
             0.0032     0.0024697431075      0.218197781295      0.753547312345     0.0137322265227    0.00994628444528       2309.78154116      0.767075122491      -0.33573844452   0.000116247056464
             0.0033    0.00198543602174      0.212004703393      0.753884706906     0.0192288177571     0.0105625392019       2301.58351389      0.747923226978     -0.326692537727   6.08493858568e-06
             0.0034    0.00159001022961      0.205082203637      0.754037822256     0.0259096483893     0.0108734983796       2286.33171192      0.729767774609     -0.316258565626    9.5035978552e-05
             0.0035    0.00126594453477      0.197651398091      0.754032931093     0.0335472369981      0.010889741646         2264.554999      0.712413502525     -0.305402736623    4.5367430262e-05
             0.0036    0.00100294063903      0.189822439987      0.753890019464     0.0420186024916     0.0106225031583       2236.06954789      0.695674112431     -0.293776215236    2.3084280579e-05
             0.0037   0.000790696622684      0.181708104974      0.753639131911     0.0511532935163     0.0101083406219       2200.91673069      0.679397487845     -0.281306673512   9.64147727796e-05
             0.0038   0.000619176499308      0.173441678109      0.753317612848     0.0607199078673    0.00940680865647       2159.70043182        0.6635022158     -0.268584947026   6.34913228952e-05
             0.0039   0.000481291987258      0.165094205413      0.752955963131     0.0705627162183     0.0085677382834       2112.67448095      0.647882391844     -0.255508729537   1.09321030278e-05
              0.004   0.000371643037932      0.156723628829      0.752583253093     0.0805391564258    0.00763960167714        2060.0273963      0.632449731179     -0.242008484927   1.32296176039e-05
             0.0041   0.000284755399627      0.148389329562      0.752226892175     0.0905028921301    0.00667281649141       2002.31567842      0.617147837735     -0.228254366311   4.16465748453e-05
             0.0042   0.000216226614462      0.140141962095       0.75190909142      0.100329901452    0.00570995075934       1940.16070621      0.601937593503     -0.214433299006   5.89986045147e-05
             0.0043   0.000162646806089      0.132018557447      0.751647563457      0.109924499845    0.00478475165392       1874.09962706      0.586782047974     -0.200632687295   6.62966616186e-05
             0.0044   0.000121157637918      0.124049415413       0.75145582595      0.119210927645    0.00392345021328       1804.69268803      0.571651707835     -0.186932337161   6.47874548612e-05
             0.0045   8.93788716803e-05      0.116258961432      0.751343337493      0.128132590482     0.0031446907191       1732.51018206      0.556523458235     -0.173403541175   5.59208163125e-05
             0.0046   6.53440038238e-05       0.10866652265      0.751315823562      0.136650530308     0.0024599219634       1658.12119779      0.541379801776     -0.160108766469   4.13076649784e-05
             0.0047   4.74408495559e-05      0.101287077904       0.75137574291      0.144741295979    0.00187414743374       1582.08463116      0.526208392032     -0.147101890182    2.2671927794e-05
             0.0048   3.43545339864e-05     0.0941320009888      0.751522843041      0.152394406643    0.00138692964354       1504.94236568      0.511001809792     -0.134428856966   1.79982729249e-06
             0.0049   2.51161230637e-05     0.0872093443914      0.751758556096      0.159602398532     0.0009965567869       1427.09197672      0.495733170944     -0.122063813984   1.20178981233e-05
              0.005   1.87528031249e-05     0.0805299013594      0.752078153144      0.166370408397   0.000693901913199       1349.13649065      0.480411656147     -0.110093505851   3.44479576721e-05
             0.0051   1.44703061465e-05      0.074107770931      0.752474056106      0.172706924503   0.000466736577619       1271.73666996      0.465078421068    -0.0986419865263   3.03683229746e-05
             0.0052   1.16687925631e-05     0.0679495079875      0.752939512388      0.178627301829   0.000302688544956       1195.39858505      0.449757927124    -0.0877406554213   2.04390416119e-06
             0.0053   9.92969976865e-06     0.0620553951667      0.753476239372      0.184140744788   0.000192427326581       1120.37219106       0.43440018235    -0.0772803939868   1.72136142671e-05
             0.0054   8.80755206444e-06      0.056436936897      0.754070448822      0.189270577919   0.000119560690623       1047.35984464      0.419097457236    -0.0674229283556   1.78348686773e-05
             0.0055   8.06029461995e-06     0.0510967676679      0.754713453446      0.194037515727   7.30533490391e-05       976.788277756      0.403905060335    -0.0581978508625    1.8221630722e-06
             0.0056   7.54254095208e-06     0.0460364030485      0.755406733648      0.198448773522     4.541206604e-05       908.947387832       0.38879397326    -0.0495397695285   1.74981714505e-05
             0.0057   7.13656819533e-06     0.0412601403581      0.756130198783      0.202531497795   2.81494941006e-05       844.334269378      0.373941251286    -0.0415967936205   7.76027540668e-06
             0.0058   6.79922432571e-06     0.0367660907486      0.756890141698      0.206285126093   1.81882413127e-05       783.096875113      0.359297200576    -0.0342603805154   1.00240088588e-05
             0.0059   6.49357347369e-06     0.0325518625075      0.757665911629      0.209737445219   1.18595476569e-05       725.481298156      0.345046061117    -0.0276215733276   6.04093399558e-07
              0.006   6.20518927827e-06     0.0286255892934      0.758460107656      0.212879101561   8.03482871003e-06        671.74722268      0.331205074766    -0.0216394254298   2.64373782404e-06
             0.0061   5.92475874409e-06     0.0249774075165       0.75925726912      0.215737193833   5.52709122326e-06        621.90064647      0.317901654108    -0.0163146188749   1.01436980814e-06
             0.0062    5.6479341564e-06     0.0216097076762      0.760049848252      0.218317641628   3.85881691141e-06       576.074862069      0.305217333658    -0.0116286748447  -1.28672349129e-07
             0.0063   5.37149173499e-06       0.01853819152      0.760829460849      0.220613576787   2.76057395173e-06        534.57937068       0.29327718721   -0.00758883862053  -1.95135215002e-06
             0.0064   5.09643374255e-06     0.0157463845991      0.761582802177      0.222655250591   1.98764883287e-06       497.185323989      0.282148051675   -0.00413159202469  -1.79006466764e-06
             0.0065   4.82237315061e-06     0.0132305141869      0.762302127986      0.224454378469   1.43985479251e-06       463.844116273      0.271883808942   -0.00121234033982   2.66356305802e-06
             0.0066   4.54931204395e-06      0.011017710367      0.762973948872      0.225997415037    1.0627863689e-06       434.929533361      0.262643838714    0.00115605427582  -2.41014540033e-06
             0.0067   4.27897539113e-06    0.00907436337021      0.763593065251      0.227323331282   7.89675867021e-07       409.884159008      0.254379335009    0.00307776984888  -5.39399371138e-06
             0.0068   4.01338689395e-06    0.00739182518402      0.764152878272      0.228447445561   5.90587167215e-07       388.510615964      0.247103226823    0.00460811534196  -4.16121205613e-06
             0.0069   3.75345943308e-06    0.00595395258437      0.764650666323      0.229388678492   4.44738464688e-07       370.514039523      0.240787199958    0.00580079458678  -1.96768540037e-06
              0.007   3.50047977936e-06    0.00474337995691      0.765085220577      0.230165647599   3.37427061051e-07       355.585352505      0.235388887278     0.0067058794803  -2.57259585056e-08
             0.0071   3.25625389925e-06    0.00375113389836      0.765453941107      0.230789953156   2.59309924576e-07       343.533098939      0.230892514615      0.007357327449  -5.81272504015e-07
             0.0072   3.02177974653e-06    0.00294394428835      0.765762909983      0.231288820908   2.01125199272e-07       333.860473824      0.227178063467    0.00780940733733   -1.7967039469e-06
             0.0073   2.79948123064e-06    0.00229476420849      0.766017853159      0.231683596757   1.57208189021e-07       326.173763905      0.224150599012     0.0080912657375  -2.65038372134e-06
             0.0074   2.58439734358e-06    0.00176679471813      0.766230203854       0.23199967729   1.23081625359e-07        319.99185405      0.221653562774    0.00826788529954   -4.8937356269e-06
