#          distance                  H2                 H2O                  N2                  O2                  OH                   T                 U_x                 U_y                 U_z
              0.025     0.0990833633623      0.221762187114      0.678762721978   5.24108042278e-08   8.66185085242e-06       1253.30973935       16.0702129306  -2.45514467241e-13   1.18074880829e-18
              0.026     0.0885145597504      0.224267086004      0.686811504056   3.45675421063e-08   1.17167895595e-05       1295.58424298       15.2189568345  -2.32508903757e-13   1.11820330095e-18
              0.027     0.0793394695397      0.226446018426       0.69379222031   2.57985200017e-08   1.54662971997e-05       1336.39478099       14.4492388306  -2.20750996461e-13   1.06164875373e-18
              0.028     0.0713336386019      0.228349732917      0.699878520787   2.46830943595e-08   1.99812231752e-05       1375.77332476       13.7510239816  -2.10081303913e-13   1.12298604292e-18
              0.029     0.0643142066963      0.230019820902      0.705211616526   3.01167572668e-08   2.53285647072e-05       1413.75889244       13.1157722197  -2.00373791128e-13    1.1780788109e-18
               0.03     0.0581277299191      0.231491425171      0.709909752644    4.1663465388e-08   3.15659113055e-05       1450.40166748       12.5359198388  -1.91518732073e-13   9.72073659108e-19
              0.031     0.0526520436127      0.232792629751      0.714066951512   5.97570471637e-08   3.87497508106e-05       1485.74858809       12.0052429823  -1.83408932133e-13    9.7859655067e-19
              0.032     0.0477851433835      0.233946998948      0.717761596134    8.5627223552e-08   4.69303798067e-05       1519.85001261       11.5183127684  -1.75972163133e-13   8.92212287822e-19
              0.033     0.0434412002974       0.23497444786      0.721059545573   1.21191556461e-07   5.61509902023e-05       1552.75968691       11.0703558926  -1.69127346127e-13    8.5706413987e-19
              0.034     0.0395509965822      0.235891068288      0.724013868461   1.69083767592e-07   6.64560776955e-05       1584.52442049       10.6574165472  -1.62819910966e-13   7.83046991474e-19
              0.035     0.0360548190412      0.236710796923      0.726670285986   2.32599595511e-07   7.78839471029e-05        1615.1942563       10.2759282386  -1.56991440022e-13   7.55017377446e-19
              0.036      0.032902392551      0.237445396071      0.729067254896     3.158129568e-07   9.04712303813e-05       1644.81734979       9.92277148187  -1.51594354143e-13   8.03890036689e-19
              0.037     0.0300524887847      0.238104494332       0.73123631102   4.23881766163e-07   0.000104261331799       1673.43559464       9.59532017513  -1.46593645947e-13   7.05010127179e-19
              0.038     0.0274682928147      0.238696706217      0.733205590198   5.63030040045e-07   0.000119293811584       1701.09529586       9.29110298253  -1.41946594257e-13   6.82657959901e-19
              0.039     0.0251188568135      0.239229240011      0.734998757335   7.41007764386e-07   0.000135616035358        1727.8394337       9.00797120109   -1.3762037398e-13   6.61855029973e-19
               0.04     0.0229784995368      0.239708011085      0.736635486191   9.67736278926e-07   0.000153290538215       1753.70567819       8.74409921553  -1.33589640092e-13   6.42467201458e-19
              0.041     0.0210235228358      0.240138468699       0.73813392794   1.25520526779e-06   0.000172380008976       1778.73690998       8.49771781241  -1.29824756259e-13    6.2436448251e-19
              0.042     0.0192343781269       0.24052502799      0.739509095696   1.61877736004e-06   0.000192967000392       1802.96917427       8.26734628099  -1.26305249425e-13   6.07438078836e-19
              0.043     0.0175943532574      0.240871392385      0.740773854267   2.07816576022e-06   0.000215153325106        1826.4338897       8.05169938517  -1.23010092543e-13    6.1788501337e-19
              0.044     0.0160881363742      0.241180932362       0.74193998668    2.6578215057e-06   0.000239049476503       1849.16297941       7.84956017879  -1.19922664985e-13   5.76741507208e-19
              0.045     0.0147030139326      0.241456349154      0.743017312088   3.38965655737e-06   0.000264794707288       1871.18071564       7.65990814568  -1.17025244272e-13   5.62806943114e-19
              0.046     0.0134277621689      0.241699945547      0.744014523973   4.31492377491e-06   0.000292553181425       1892.50849342        7.4818157099  -1.14303235637e-13   5.95255298504e-19
              0.047     0.0122521351817       0.24191375498      0.744939574412   5.48628096439e-06   0.000322509975708       1913.16752383       7.31439614102  -1.11746082002e-13   5.80919822577e-19
              0.048     0.0111675303043       0.24209930905      0.745799211836   6.97393682876e-06   0.000354894315402       1933.17436634       7.15688397702  -1.09338760671e-13   6.08572095424e-19
              0.049     0.0101660744753      0.242257876802      0.746599661187   8.86966776304e-06    0.00038996862219       1952.54597082       7.00854847282   -1.0707405152e-13   5.14948699989e-19
               0.05    0.00924070197579      0.242390428547      0.747346572047   1.12940352363e-05   0.000428031679047       1971.29826478       6.86871146232  -1.04936694717e-13   5.42493530887e-19
              0.051    0.00838549126281      0.242497484959      0.748044795452   1.44109975141e-05   0.000469441502259       1989.44151915        6.7367973319  -1.02922703501e-13    4.9498195548e-19
              0.052    0.00759486337664       0.24257936307      0.748698958358   1.84368667872e-05   0.000514587209589       2006.98563132        6.6122516691  -1.01018702124e-13   5.20274731534e-19
              0.053    0.00686395699872      0.242636027395      0.749313202318   2.36625001011e-05   0.000563902110007       2023.93562053       6.49458140935  -9.92222036411e-14   4.77185292602e-19
              0.054    0.00618870524303      0.242666965634      0.749891171387     3.048986186e-05   0.000617885528542       2040.28967772       6.38336616727  -9.75219700292e-14   5.00388768852e-19
              0.055    0.00556513282426      0.242671451946      0.750436492198   3.94521355706e-05   0.000677041781869       2056.04627544       6.27817441117  -9.59160045361e-14   4.61284924243e-19
              0.056    0.00498987824211      0.242648229886      0.750952463766   5.12807109046e-05   0.000741916348456       2071.19847695       6.17862408508  -9.43947780141e-14   4.68254441731e-19
              0.057    0.00446008957524      0.242595419887      0.751442177079   6.69898538893e-05   0.000813086493124       2085.73367622       6.08437432124  -9.29545233754e-14   4.60704538833e-19
              0.058    0.00397293126944      0.242510737835      0.751908833068   8.79310768729e-05   0.000891065284528        2099.6396071       5.99507286491  -9.15905319754e-14   4.40484215826e-19
              0.059    0.00352608496807      0.242391049767      0.752355484269   0.000115965893286    0.00097632947125        2112.8959398       5.91041737816  -9.02966730782e-14   4.71488483461e-19
               0.06    0.00311751698158      0.242232354647      0.752785210681   0.000153628134389    0.00106923281136       2125.47567906       5.83013229557  -8.90706843757e-14   4.40206246489e-19
              0.061    0.00274524294219      0.242029914845      0.753201232944   0.000204249638835    0.00116987758135       2137.34853817        5.7539428644  -8.79064398423e-14   4.45338515813e-19
              0.062    0.00240763697399      0.241777768919      0.753606792978   0.000272285508357    0.00127808778567       2148.47435585        5.6816121526  -8.68014214523e-14   4.38810273024e-19
              0.063    0.00210312996875      0.241468930316       0.75400526324   0.000363471509866    0.00139325612414       2158.80832518       5.61291052253  -8.57520487821e-14   4.12405077591e-19
              0.064    0.00183014646387      0.241095596856        0.7544000429   0.000484898663867    0.00151423848099       2168.30293047       5.54761339607  -8.47545341583e-14   4.07607412209e-19
              0.065    0.00158724820084      0.240648892357       0.75479443081   0.000645273588543    0.00163934382555       2176.90418729       5.48552565563  -8.38057248752e-14   4.12048574925e-19
              0.066    0.00137280165545      0.240119888005       0.75519145366   0.000854447357174    0.00176630543576       2184.56171255       5.42645425142  -8.29035241647e-14   3.98705320104e-19
              0.067    0.00118502731327      0.239500097999      0.755593603374     0.0011229791631    0.00189243974591       2191.23028978        5.3702213435  -8.20444256577e-14    3.9457364249e-19
              0.068    0.00102208770972      0.238781781896      0.756002637189    0.00146174287252    0.00201484658558       2196.86872497       5.31667697021  -8.12265443732e-14   3.90639503271e-19
              0.069   0.000881798245105      0.237959800438      0.756419351051    0.00188025042405    0.00213073859103       2201.45542914       5.26566783354  -8.04470686223e-14   3.86891638971e-19
               0.07   0.000761775167453      0.237030746672      0.756843943845    0.00238661732665    0.00223780233336       2204.98521175       5.21704966347  -7.97041834124e-14   3.83319449441e-19
              0.071   0.000659632783422      0.235989326365      0.757276949097    0.00298934198119    0.00233482602765       2207.46875341       5.17069176106  -7.89958370681e-14   3.96946092628e-19
              0.072    0.00057340439098      0.234843797326      0.757714466736    0.00368789207879    0.00242020750554       2208.92012842       5.12649727844  -7.83209073174e-14   3.76666169788e-19
